epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,492.153,1.01772,1.49487,0.77221,0.964,0.82645,0.54237,0.59766,0.47179,0.82421,0.52471,0.58168,0.40002,1.01675,1.65504,0.81218,1.02893,0.00160264,0.00160264,0.00160264
41,504.832,1.01542,1.48609,0.7591,0.96197,0.83388,0.54985,0.63042,0.49524,0.82415,0.53581,0.61314,0.38578,1.04883,1.66393,0.8849,1.03838,0.00160099,0.00160099,0.00160099
42,517.149,1.05699,1.52386,0.75931,0.95979,0.71415,0.52881,0.63027,0.48836,0.70686,0.5162,0.61313,0.39072,1.05298,1.68043,0.7916,1.03815,0.00159934,0.00159934,0.00159934
43,529.421,1.04174,1.5595,0.72182,0.96004,0.87568,0.55364,0.63089,0.49675,0.86527,0.53509,0.61101,0.38536,1.04682,1.63919,0.78421,1.03805,0.00159769,0.00159769,0.00159769
44,541.819,1.0144,1.52474,0.7084,0.95189,0.87715,0.55264,0.63893,0.51567,0.87733,0.53631,0.62165,0.42131,1.00268,1.63447,0.78133,1.02115,0.00159604,0.00159604,0.00159604
45,554.456,0.99956,1.50231,0.73132,0.95183,0.86169,0.58456,0.66623,0.52306,0.84817,0.56853,0.64781,0.434,1.02561,1.63401,0.78997,1.02734,0.00159439,0.00159439,0.00159439
46,566.856,0.99415,1.45446,0.71036,0.95001,0.56324,0.60398,0.64393,0.51277,0.54915,0.59049,0.62536,0.41426,1.0285,1.62342,0.78455,1.03116,0.00159274,0.00159274,0.00159274
47,579.137,1.01483,1.47831,0.70192,0.95076,0.69762,0.57161,0.58917,0.45633,0.68544,0.5572,0.57156,0.38141,1.04683,1.68323,0.78672,1.04581,0.00159108,0.00159108,0.00159108
48,591.296,0.98438,1.47241,0.72126,0.96547,0.85672,0.54116,0.61706,0.48552,0.84755,0.52865,0.60514,0.40987,1.0016,1.60541,0.78455,1.02509,0.00158943,0.00158943,0.00158943
49,603.27,0.97051,1.45142,0.72781,0.95375,0.76142,0.52799,0.5908,0.46164,0.74649,0.50758,0.56573,0.35604,1.06395,1.66052,0.82838,1.04058,0.00158778,0.00158778,0.00158778
50,615.385,0.9822,1.46069,0.72539,0.94778,0.72385,0.51281,0.60611,0.48037,0.7157,0.5042,0.59135,0.40577,1.00071,1.59016,0.78057,1.03075,0.00158613,0.00158613,0.00158613
51,627.482,0.96641,1.42735,0.69998,0.94506,0.74315,0.55986,0.6333,0.494,0.72962,0.54548,0.61173,0.38289,1.01342,1.60375,0.78396,1.01164,0.00158448,0.00158448,0.00158448
52,639.698,0.96445,1.39997,0.68498,0.94145,0.72239,0.53185,0.64481,0.48678,0.70416,0.51667,0.6184,0.38031,1.02841,1.57829,0.76798,1.03021,0.00158283,0.00158283,0.00158283
53,651.73,0.99486,1.4399,0.67755,0.93788,0.7851,0.55712,0.61998,0.48551,0.77116,0.53925,0.59694,0.41153,0.9855,1.56411,0.75977,1.01811,0.00158118,0.00158118,0.00158118
54,663.877,0.98581,1.44388,0.6837,0.94974,0.7741,0.5673,0.62341,0.49103,0.76282,0.55467,0.60807,0.39594,1.03051,1.63976,0.80066,1.02898,0.00157953,0.00157953,0.00157953
55,676.092,0.96333,1.36782,0.67518,0.92401,0.84166,0.54938,0.63986,0.51728,0.84498,0.52737,0.62123,0.40253,1.0094,1.5943,0.7926,1.02639,0.00157788,0.00157788,0.00157788
56,688.38,0.93846,1.3393,0.66738,0.92888,0.55821,0.55411,0.60793,0.47548,0.55687,0.54548,0.5997,0.42814,1.0151,1.60656,0.74626,1.03447,0.00157623,0.00157623,0.00157623
57,700.494,0.99842,1.37813,0.66922,0.94938,0.86039,0.59388,0.62879,0.48269,0.84408,0.57324,0.60638,0.38297,1.05566,1.56696,0.76057,1.03428,0.00157458,0.00157458,0.00157458
58,712.617,0.98338,1.42198,0.68458,0.94578,0.86137,0.59208,0.63821,0.51523,0.8457,0.57279,0.617,0.45284,1.00946,1.54589,0.76249,1.02055,0.00157293,0.00157293,0.00157293
59,725.02,0.99287,1.39173,0.68256,0.94014,0.64923,0.52231,0.59126,0.46297,0.64034,0.51208,0.57491,0.36972,1.03837,1.57234,0.76112,1.0357,0.00157128,0.00157128,0.00157128
60,736.997,0.9691,1.36451,0.67536,0.94342,0.69775,0.51592,0.63854,0.5068,0.71254,0.49626,0.61975,0.40274,0.97472,1.53948,0.75774,1.01023,0.00156963,0.00156963,0.00156963
61,749.058,0.93378,1.36073,0.66088,0.93754,0.82613,0.56439,0.63198,0.49245,0.81421,0.54903,0.61227,0.38912,1.02339,1.61084,0.76117,1.02487,0.00156798,0.00156798,0.00156798
62,761.21,0.98582,1.42378,0.65952,0.93661,0.79633,0.5548,0.61391,0.47776,0.77904,0.53499,0.58788,0.39051,1.02462,1.55722,0.75252,1.02354,0.00156633,0.00156633,0.00156633
63,773.189,0.92265,1.33664,0.64573,0.93379,0.63963,0.56615,0.6613,0.52517,0.64119,0.55027,0.6494,0.46682,0.9847,1.51961,0.72343,1.01886,0.00156468,0.00156468,0.00156468
64,785.558,0.94139,1.36296,0.66339,0.95206,0.6844,0.65027,0.7019,0.5558,0.67067,0.6342,0.68505,0.46222,1.0085,1.56188,0.73736,1.01744,0.00156303,0.00156303,0.00156303
65,798.032,0.90529,1.29726,0.62878,0.91592,0.76903,0.64679,0.72563,0.54805,0.75325,0.62644,0.70395,0.4355,1.01083,1.56633,0.75143,1.01686,0.00156138,0.00156138,0.00156138
66,810.007,0.95221,1.38257,0.67147,0.93322,0.8194,0.61007,0.72165,0.57722,0.8077,0.59548,0.70546,0.46142,0.98424,1.51572,0.73508,1.00996,0.00155973,0.00155973,0.00155973
67,822.256,0.93028,1.35217,0.64832,0.92002,0.76336,0.54814,0.65446,0.50732,0.74864,0.53172,0.63214,0.40457,0.98526,1.52373,0.72784,1.01174,0.00155808,0.00155808,0.00155808
